Feature,Importance
SPX_log_returns_55,37
BTC-USD_MR_Strength_55,21
BTC-USD_MR_Strength_13,18
BTC-USD_RSI_55,17
SPX_RSI_13,13
SPX_Volume,13
SPX_log_returns_13,13
SPX_Volatility_34,12
SPX_RSI_34,12
CBOE_Volume,11
ETH-USD_Volatility_13,11
BTC-USD_MR_Strength_34,10
SPX_MR_Strength_55,10
MDY_RSI_34,9
QQQ_Volatility_34,9
SPX_close,9
MDY_Volume,8
ETH-USD_Volume,8
ETH-USD_log_returns_34,8
ETH-USD_funding_rate,8
BTC-USD_MACD_13,8
MDY_MR_Strength_34,8
ETH-USD_MACD_Diff_13,7
QQQ_Volatility_13,7
MDY_Volatility_55,7
QQQ_Volume,7
ETH-USD_MR_Strength_55,7
ETH-USD_RSI_55,7
BTC-USD_MACD_34,7
TNX_Volatility_13,7
VIX_log_returns_13,7
BTC-USD_log_returns_13,7
CBOE_MR_Strength_55,6
MDY_RSI_13,6
ETH-USD_close,5
BTC-USD_MACD_Signal_34,5
BTC-USD_RSI_34,5
BTC-USD_Volatility_13,5
VIX_log_returns_55,5
ETH-USD_RSI_34,5
QQQ_MR_Strength_55,5
MDY_RSI_55,5
SPX_MACD_Diff_13,5
SPX_MACD_Signal_34,5
VIX_MACD_Diff_13,4
SPX_MR_Strength_34,4
ETH-USD_MACD_Signal_55,4
BTC-USD_Volatility_34,4
SPX_RSI_55,4
SPX_MACD_Diff_34,4
QQQ_MACD_Signal_55,4
VIX_RSI_55,4
CBOE_close,4
BTC-USD_log_returns_34,4
SPX_log_returns_34,4
BTC-USD_RSI_13,4
SPX_MR_Strength_13,4
MDY_MR_Strength_55,4
ETH-USD_MACD_Diff_55,4
BTC-USD_MACD_Signal_55,3
SPX_MACD_34,3
SPX_MACD_13,3
QQQ_MACD_Diff_34,3
TNX_close,3
MDY_MACD_Diff_34,3
SPX_MACD_Diff_55,3
SPX_Volatility_55,3
ETH-USD_log_returns_55,3
ETH-USD_MACD_Diff_34,3
MDY_MACD_Signal_55,3
CBOE_MR_Strength_13,3
QQQ_log_returns_13,3
QQQ_MR_Strength_13,3
CBOE_log_returns_34,3
CBOE_MACD_34,3
ETH-USD_MR_Strength_13,3
CBOE_Volatility_34,3
VIX_MR_Strength_13,3
VIX_MACD_Signal_55,2
VIX_MR_Strength_55,2
TNX_MACD_Diff_55,2
TNX_log_returns_55,2
TNX_MR_Strength_13,2
TNX_Volatility_34,2
BTC-USD_MACD_Signal_13,2
TNX_MACD_Diff_13,2
CBOE_Volatility_55,2
ETH-USD_MACD_13,2
CBOE_MR_Strength_34,2
CBOE_Volatility_13,2
ETH-USD_MR_Strength_34,2
VIX_MACD_Diff_34,2
VIX_Volatility_34,2
pca_1,2
VIX_MACD_34,2
MDY_Volatility_13,2
QQQ_Volatility_55,2
QQQ_MACD_Diff_55,2
MDY_MR_Strength_13,2
MDY_MACD_Diff_55,2
MDY_log_returns_55,2
VIX_MR_Strength_34,2
MDY_MACD_13,2
QQQ_MACD_Diff_13,1
ETH-USD_RSI_13,1
ETH-USD_Volatility_34,1
ETH-USD_log_returns_13,1
QQQ_log_returns_34,1
ETH-USD_MACD_34,1
TNX_MACD_13,1
CBOE_MACD_55,1
QQQ_RSI_13,1
TNX_RSI_13,1
CBOE_RSI_55,1
BTC-USD_MACD_55,1
ETH-USD_MACD_55,1
MDY_MACD_Signal_34,1
ETH-USD_Volatility_55,1
MDY_log_returns_34,1
CBOE_MACD_Signal_34,1
CBOE_MACD_13,1
CBOE_MACD_Signal_13,1
CBOE_MACD_Diff_13,1
MDY_MACD_Diff_13,1
MDY_MACD_Signal_13,1
BTC-USD_MACD_Diff_55,1
CBOE_RSI_34,1
BTC-USD_MACD_Diff_13,1
VIX_log_returns_34,1
TNX_MACD_Diff_34,1
TNX_MR_Strength_55,1
VIX_close,1
BTC-USD_funding_rate,1
VIX_Volatility_13,1
BTC-USD_close,1
VIX_Volatility_55,1
VIX_RSI_13,1
BTC-USD_MACD_Diff_34,1
TNX_MR_Strength_34,1
BTC-USD_log_returns_55,1
TNX_log_returns_34,1
TNX_Volatility_55,1
TNX_MACD_55,0
TNX_Momentum_55,0
MDY_log_returns_13,0
CBOE_MACD_Diff_34,0
TNX_MACD_Signal_55,0
TNX_RSI_55,0
CBOE_log_returns_55,0
SPX_Momentum_13,0
SPX_MACD_Signal_13,0
MDY_Momentum_13,0
SPX_Momentum_55,0
SPX_Volatility_13,0
TNX_MACD_Signal_13,0
SPX_Momentum_34,0
TNX_Momentum_13,0
CBOE_Momentum_34,0
TNX_RSI_34,0
SPX_MACD_55,0
TNX_log_returns_13,0
TNX_Volume,0
SPX_MACD_Signal_55,0
MDY_close,0
TNX_Momentum_34,0
CBOE_MACD_Diff_55,0
TNX_MACD_34,0
CBOE_MACD_Signal_55,0
TNX_MACD_Signal_34,0
CBOE_Momentum_55,0
VIX_MACD_Signal_34,0
MDY_Volatility_34,0
CBOE_Momentum_13,0
BTC-USD_Momentum_13,0
QQQ_MACD_Signal_34,0
QQQ_log_returns_55,0
QQQ_RSI_55,0
QQQ_Momentum_55,0
BTC-USD_Momentum_34,0
QQQ_MACD_55,0
VIX_Volume,0
VIX_Momentum_13,0
BTC-USD_Momentum_55,0
VIX_MACD_13,0
VIX_MACD_Signal_13,0
VIX_MACD_Diff_55,0
VIX_MACD_55,0
VIX_Momentum_55,0
VIX_RSI_34,0
VIX_Momentum_34,0
QQQ_MACD_34,0
QQQ_Momentum_34,0
CBOE_RSI_13,0
ETH-USD_Momentum_34,0
CBOE_log_returns_13,0
MDY_Momentum_34,0
MDY_MACD_34,0
ETH-USD_Momentum_55,0
MDY_Momentum_55,0
MDY_MACD_55,0
ETH-USD_MACD_Signal_34,0
QQQ_close,0
BTC-USD_Volatility_55,0
QQQ_Momentum_13,0
QQQ_MACD_13,0
ETH-USD_MACD_Signal_13,0
QQQ_MACD_Signal_13,0
ETH-USD_Momentum_13,0
QQQ_MR_Strength_34,0
QQQ_RSI_34,0
BTC-USD_Volume,0
